op_id,Mach,alt_ft,PC,time_s,dist_nm,T3_K,P3_Pa,FAR,mdot_air3_kg_s
6.500000000000000000e+01,1.000000000000000056e-01,2.250000000000000000e+04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.703595545743404500e+02,6.291063299331393791e+05,1.496180764518246879e-02,4.158644362462373678e+00
6.600000000000000000e+01,2.500000000000000000e-01,2.250000000000000000e+04,2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.979325864992645165e+02,4.031191481637780089e+05,1.040382240776037415e-02,3.003751042310230712e+00
6.700000000000000000e+01,2.500000000000000000e-01,2.250000000000000000e+04,4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.167944026222525054e+02,4.639472998015985359e+05,1.150586421315134313e-02,3.346029494925863546e+00
6.800000000000000000e+01,2.500000000000000000e-01,2.250000000000000000e+04,6.499999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.309835843936322135e+02,5.088785022320986609e+05,1.235874359315486393e-02,3.594751984440672121e+00
6.900000000000000000e+01,2.500000000000000000e-01,2.250000000000000000e+04,8.249999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.459991109642512583e+02,5.595583040065796813e+05,1.325469689123405341e-02,3.850716120519785068e+00
7.000000000000000000e+01,2.500000000000000000e-01,2.250000000000000000e+04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.687471638581735078e+02,6.303083250303053064e+05,1.467073661164775347e-02,4.191323242788185688e+00
7.100000000000000000e+01,4.000000000000000222e-01,2.250000000000000000e+04,2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.985514321666458386e+02,4.041378897743269918e+05,1.004944191179619334e-02,3.033555207649311303e+00
7.200000000000000000e+01,4.000000000000000222e-01,2.250000000000000000e+04,4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.175719878332929511e+02,4.648952286088374676e+05,1.117839619459025033e-02,3.374871525234063974e+00
7.300000000000000000e+01,4.000000000000000222e-01,2.250000000000000000e+04,6.499999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.309347296953762907e+02,5.104925634575629956e+05,1.196462485068310044e-02,3.633368146917072217e+00
7.400000000000000000e+01,4.000000000000000222e-01,2.250000000000000000e+04,8.249999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.458087683302695723e+02,5.611287807048875839e+05,1.286686003840529363e-02,3.890327120621061674e+00
7.500000000000000000e+01,4.000000000000000222e-01,2.250000000000000000e+04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.669312361936798652e+02,6.329329598688709084e+05,1.416230854254185538e-02,4.249135389685900321e+00
7.600000000000000000e+01,5.500000000000000444e-01,2.250000000000000000e+04,2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.993217506349425321e+02,4.058856078309926670e+05,9.510381588582372120e-03,3.081514442283193933e+00
7.700000000000000000e+01,5.500000000000000444e-01,2.250000000000000000e+04,4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.186788148611946099e+02,4.665660574000602937e+05,1.068398561929113574e-02,3.420353714690569369e+00
7.800000000000000000e+01,5.500000000000000444e-01,2.250000000000000000e+04,6.499999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.320183473430163303e+02,5.135633765879732673e+05,1.147767395040031821e-02,3.680366058587258404e+00
7.900000000000000000e+01,5.500000000000000444e-01,2.250000000000000000e+04,8.249999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.457535091547798629e+02,5.636921244142269716e+05,1.229886520949410693e-02,3.950328277056310622e+00
