Mach,alt_ft,PC,T3_K,P3_Pa,FAR,mdot_air3_kg_s,EINOX,EICO,EIUHC
0.5,10000.0,0.8,702.9625173327624,1627487.0006224692,0.022055210474034737,27.692444136274386,22.88088561304233,2.5864213393373676,0.019245100891080925
0.5,10000.0,0.9,720.0502094921342,1771369.1147147375,0.02312640033489225,29.63762741415948,21.7956600535855,2.285283039665588,0.01872530621906818
0.5,10000.0,1.0,735.8751617701605,1912359.4355956889,0.02421699023236208,31.486690257882874,20.755788407808392,2.1096897938505297,0.018389429489354212
0.5,15000.0,0.3,580.1926035636109,769431.274619919,0.01584869563983863,14.789739382362216,8.288129266156387,9.365621815134427,0.10670866027476678
0.5,15000.0,0.55,644.1399603464372,1111995.7341354843,0.019245587346891396,19.929787750264985,19.637629114957225,4.582259378193622,0.07038684206898423
0.5,15000.0,0.8,693.768833669883,1443683.5455071144,0.02213729811606936,24.60380157859071,21.910869093232257,2.933344147811035,0.06690424697969759
0.5,15000.0,0.9,710.9126248791284,1572832.7712658832,0.023284558640749416,26.333211741535614,19.4293036005644,48.7767152189375,0.11958113572250682
0.5,15000.0,1.0,727.6758228205001,1703409.6401000503,0.02443299793693264,28.040282859991542,19.88796142298836,2.412328077587275,0.02046106722416417
0.5,20000.0,0.3,567.2073293053586,660272.0941778078,0.015833110654229765,12.754281827819632,7.362179417237773,11.090140184155754,0.12195324112414846
0.5,20000.0,0.55,632.2650005353908,967300.235870796,0.019176033549689508,17.41642692912535,18.10627273619247,5.278941930529237,0.0789844559296515
0.5,20000.0,0.8,682.3907801316668,1262069.66585,0.022171754836147427,21.567801055391698,20.894490439638698,3.3807891581442138,0.07402966745879168
0.5,20000.0,0.9,700.300841125296,1379434.3928816367,0.023345895044553675,23.14458722035144,20.00286963447582,3.002292169311656,0.024116447448438588
0.5,20000.0,1.0,718.5305914171797,1498380.029847907,0.024673468783782484,24.659282475173885,19.026203506635763,2.7937588479713567,0.022949504752305363
0.5,25000.0,0.3,564.3979188272675,599669.1101726126,0.016296149555639825,11.511457989477831,7.85049793729607,11.5129308517045,0.12341642747119513
0.5,25000.0,0.55,620.2549779278556,836477.0185387182,0.019138862313725427,15.125038041750164,16.56646244531778,6.102585234617445,0.08933339063833952
0.5,25000.0,0.8,671.2238415225805,1098991.348125486,0.022200833517581283,18.83283074907987,19.913490851269202,3.8988654221796413,0.08231572394699457
0.5,25000.0,0.9,690.6084333076305,1205147.53955955,0.023556571575137183,20.224612729264127,19.03632945477162,3.466446007844719,0.08104770011553289
0.5,25000.0,1.0,711.5731107573029,1319604.2828144315,0.024856146078325207,21.71313182135497,18.487408903105145,3.209393523760337,0.025888313161253167
0.6,0.0,0.3,626.4726084010017,1232792.926301581,0.01581876250937101,23.32138388052072,11.488911516034687,5.545888006809353,0.0726965934169179
0.6,0.0,0.55,683.4191220811466,1682542.1056335869,0.01908739216537799,29.856452998911248,24.544847861368943,2.9762557273344044,0.05165576948417401
0.6,0.0,0.8,727.2103382998685,2110639.214093655,0.0217173588954042,35.81429445938891,26.05335589861515,1.9251090271528275,0.01494599316551332
0.6,0.0,0.9,742.6314787290314,2281064.216465894,0.022658275580651515,38.13547260066039,24.90623288556337,1.6972496532046413,0.014901849198834525
0.6,0.0,1.0,757.4484511209852,2446997.6205825326,0.02364689742612523,40.31250274390043,23.643549428508294,1.554391669190272,0.01504120545278803
0.6,10000.0,0.3,603.3108884231322,944455.8917259402,0.015863774539493457,18.000687680466076,9.800611850972418,7.354772911253885,0.09102834205885037
0.6,10000.0,0.55,663.1184782230692,1322573.7207985483,0.0191809198624449,23.586034055496857,21.8086358607641,3.807499195462278,0.062454472727660845
0.6,10000.0,0.8,709.4877941136466,1688350.172796322,0.02194085411039745,28.714561587553057,23.607542040420743,53.47810441825789,0.1233435235761836
0.6,10000.0,0.9,726.0877069986326,1831907.9553833487,0.023001418047062183,30.64410039028836,22.585209918007106,2.182369536377769,0.01851008028470334
0.6,10000.0,1.0,741.3050140856772,1971616.3770627596,0.024073802720824863,32.46701303003182,21.456212644930474,2.0178567572036976,0.018234382722747203
0.6,15000.0,0.3,591.1886647808304,819519.8217381979,0.015886242552782898,15.681490744267911,8.950756300113289,8.55802030074533,0.10160460242854766
0.6,15000.0,0.55,652.6311842392197,1164190.418740489,0.019220149811804952,20.817727908196492,20.448152269590903,4.317142165503791,0.06937314701833704
0.6,15000.0,0.8,700.2127043820734,1497446.8297570075,0.022055281100796804,25.4990741736992,22.612252696547586,2.7985837441411303,0.021736176869979494
0.6,15000.0,0.9,716.7627371990935,1625914.5173902037,0.023189598382196246,27.208532550648684,21.460489967358296,2.4929230578343335,0.02088170055010759
0.6,15000.0,1.0,732.5369494307862,1754241.14291138,0.024305044306802075,28.880742303197763,20.454546371771897,2.314912416283574,0.020260129460804414
0.6,20000.0,0.3,578.3595689990824,704810.6495727791,0.01589608832940434,13.546519002900544,8.043407938750928,10.077666393250155,0.11474020170921789
0.6,20000.0,0.55,641.0377273605402,1015259.2655843318,0.019193366660001092,18.22604782912666,18.945092208128596,4.9533712537376005,0.07767024566113548
0.6,20000.0,0.8,689.3250604365861,1312926.9419131095,0.02214568176112767,22.400711159141135,21.490940607775485,3.214516297890163,0.07324570776343774
0.6,20000.0,0.9,706.3360550690007,1429242.3466370716,0.02331287264709037,23.950680692436787,20.492171435562422,2.870587965107549,0.02374577242604213
0.6,20000.0,1.0,723.2517350412937,1546500.128645499,0.02454944751081288,25.454376072866594,19.517690755591982,2.6776556477028133,0.02266295728054378
0.6,25000.0,0.3,565.2269394095536,601770.1255089344,0.015880920026202706,11.623777800113237,7.085708334162509,11.98670273544459,0.13260239422062545
0.6,25000.0,0.55,628.5591951077461,877685.9199090588,0.019149088352824944,15.826848458341638,17.338363209544422,5.738604610109462,0.08763868648249881
0.6,25000.0,0.8,677.5900354787364,1141469.2174915427,0.0221984078069342,19.52671497675316,20.407731171714637,3.7195149827340193,0.08135456742172477
0.6,25000.0,0.9,695.7012799883361,1246282.0559419757,0.023477529952584217,20.905192204442734,19.50760749776185,3.326070627069341,0.08014146381150938
0.6,25000.0,1.0,713.9537936821756,1352598.3361954775,0.024793703381855527,22.257421887595918,18.698850133359272,3.115987126382692,0.025464717476534837
0.6,30000.0,0.3,551.4722875168419,509195.5140992604,0.0158723286446522,9.886344029709097,6.142972206118526,14.371681349708957,0.15703571497660584
0.6,30000.0,0.55,615.3240199909285,751806.8621623054,0.01911469532820748,13.619544089685826,15.658409355870841,6.711194220501157,0.09946718036954047
0.6,30000.0,0.8,665.6177814903675,984267.7554532777,0.022289306276196463,16.875537885698538,19.25994879302984,4.32871237005952,0.09080051054813884
0.6,30000.0,0.9,685.1159332277989,1078577.820680986,0.023650355988822046,18.107876982779263,18.58488443141229,3.8767385632175917,0.08884002034081202
0.6,30000.0,1.0,708.4439648217502,1187000.2029088675,0.024938309942257923,19.529612529647856,14.88425883557472,45.54558713865009,0.16854277118099667
0.7,0.0,0.3,639.9913900091516,1324267.1468122024,0.0158472552126858,24.923615818204308,12.477297068178379,4.996154311736241,0.06964318191733583
0.7,0.0,0.55,694.3296933600752,1777202.505799253,0.019040957952538625,31.450743371542423,25.79984636218607,2.745990389069267,0.051053265317128595
0.7,0.0,0.8,736.1444640858008,2203837.4934715685,0.021615608729676532,37.3476636214206,27.281538779047448,1.8020115167746886,0.01483113131008346
0.7,0.0,0.9,751.0017740541451,2373874.0059758546,0.022550219914390063,39.646292099235936,26.06934370877624,1.5958371957187651,0.014841504529805672
0.7,0.0,1.0,764.742822863543,2541815.909906604,0.02345359519255636,41.882693879455246,24.86838336256961,1.4637666722319909,0.015166587602639777
0.7,10000.0,0.3,615.3097904871214,1009045.715844462,0.01585529442171721,19.152939189433532,10.470856086478847,6.720093620937216,0.08768046290853021
0.7,10000.0,0.55,673.1628306772748,1392877.1246276277,0.019146243142386447,24.774833323158,22.843392749528032,3.547941612142536,0.06160807446339913
0.7,10000.0,0.8,717.1617856568278,1759440.0015734488,0.02181382581416594,29.90440942985335,24.714945993235872,2.331364675519372,0.018643332212027606
0.7,10000.0,0.9,732.8777795588387,1901830.9426204448,0.022865363435037762,31.80458540029616,23.509130390113796,2.071786578647198,0.018279117752221012
0.7,10000.0,1.0,747.7410185109823,2042518.8475274316,0.023903861226708383,33.640319134048134,22.339898733039295,1.9150449302389947,0.018071619119188267
0.7,20000.0,0.3,590.0130563762776,753766.3622010102,0.015901727547805874,14.425887901939912,8.660922613724821,9.190097228276848,0.1095759892268974
0.7,20000.0,0.55,650.4575170118334,1068551.5850897653,0.01918992251324144,19.127916179553644,19.854963727569796,4.632548739669524,0.07639999900821028
0.7,20000.0,0.8,696.7965870229145,1369826.580260775,0.022080893010525782,23.340959650462356,22.22543816365838,3.044925343657754,0.07242645833279229
0.7,20000.0,0.9,712.9857567649207,1485291.7040507293,0.02326497420429392,24.85932481454212,21.07607129377107,2.7324524328346245,0.02337292500305011
0.7,20000.0,1.0,728.7530748489261,1601818.8372473847,0.02440476928111169,26.368713679422942,20.124869794047683,2.552137863355673,0.022376456241546647
0.7,25000.0,0.3,576.5276042759625,643490.4830799239,0.01588095635867215,12.379011142364439,7.63550353154318,10.950150264957045,0.125938879120222
0.7,25000.0,0.55,637.8282554214983,923932.427688303,0.019163223825863468,16.6096791842935,18.21598319389681,5.366323982131104,0.0860813976552385
0.7,25000.0,0.8,684.717591020408,1189870.2037379043,0.022196501400735338,20.314965744511564,20.97141063872677,3.5304174512389914,0.08038631084948092
0.7,25000.0,0.9,701.7070686242265,1294818.1013471747,0.02338516605401282,21.70718278019232,20.085605140834623,3.171458347127965,0.026689099751166123
0.7,25000.0,1.0,719.0615637763311,1401513.6718319843,0.024659652387339984,23.065440948151824,19.202094253664423,2.973241550640997,0.02511510052045083
0.7,30000.0,0.3,562.7952794057773,545544.3982230191,0.01590098864736439,10.543668111867946,6.709282084371389,13.067219217145645,0.14691385301663917
0.7,30000.0,0.55,624.6048622580366,793350.7992360501,0.019165884817009576,14.320515736981648,16.546894947583183,6.252862721288401,0.0975892610830176
0.7,30000.0,0.8,672.8079781497763,1029079.4046549224,0.02229178105977008,17.608101563455275,19.80682464535006,4.100712167479406,0.08947042801124748
0.7,30000.0,0.9,691.3938241215775,1124254.0935601017,0.023612443588699805,18.85131432010693,19.048331302580703,3.6889320166289368,0.08763379020728211
0.7,30000.0,1.0,711.244850291366,1225828.4414141,0.024864885683443184,20.16993903716052,18.5776655436368,3.4443651999489013,0.028285687396834375
0.7,32500.0,0.3,577.2865506300956,573253.109247175,0.016997595613737787,10.83787468814021,9.344319643466084,10.716144801712325,0.12556008764283444
0.7,32500.0,0.55,646.4211385106322,858427.8013702858,0.020987032841138634,15.034930159133712,18.746625913880806,5.175796273152474,0.09798438999221415
0.7,32500.0,0.8,710.6888550245579,1154016.9728605386,0.02507705485486853,18.948044352839972,18.4209048731458,3.6880211959155558,0.029972137646212805
0.7,32500.0,0.9,747.0534656895198,1291054.6209536684,0.027285171807992267,20.540690619974484,10.403003149923379,35.408180094953984,0.1532307639166673
0.7,32500.0,1.0,802.2840188938502,1624753.6585061103,0.02921686972290448,22.236556572193656,43.12301711009858,3.191716048325438,0.01587339368877865
0.75,0.0,0.3,638.0739920983751,1306664.5284408445,0.015333971495059908,24.798981928523183,10.553959714850528,5.35154760010728,0.07689631386569745
0.75,0.0,0.55,699.5738642142463,1824917.0281372513,0.01897583802530281,32.27078775641947,26.408156886249152,2.6444557834054327,0.05077757467182907
0.75,0.0,0.8,740.5174850045095,2250517.242900457,0.02152389079078493,38.1331036716751,28.02836733333669,1.7453972266419164,0.01477545031213434
0.75,0.0,0.9,755.0200268024695,2419115.3038906124,0.022455405923686344,40.40116735371508,26.787985909852722,1.548844215515902,0.014811697227787269
0.75,0.0,1.0,768.5778085284749,2587000.846498813,0.023351847335917587,42.63156627129752,25.55314103014509,1.4212781776005128,0.01531598869652305
0.75,10000.0,0.3,621.475250886924,1043833.2186425364,0.015830600652178783,19.777783811594922,10.770082242088144,6.428314410592907,0.08619101838648169
0.75,10000.0,0.55,678.2722152724601,1430333.336540726,0.019104587378546076,25.41517441766416,23.375547267306885,3.424610516539292,0.06118318620227595
