Altitude_ft,Mach,ThrustFraction,Efficiency,TSFC,ThrustLapse,T3_K,P3_Pa,FAR,mdot_air3,mdot_inlet,BPR
5.000000000000000000e+03,4.000000000000000222e-01,9.000000000000000222e-01,2.234111090728684856e-01,1.392337903736712996e-05,6.281583536207748786e-01,7.228328272197671822e+02,1.920223955535600428e+06,2.309401396170260995e-02,3.211603700984984044e+01,3.115930186960882793e+02,6.135926473413959137e+00
5.000000000000000000e+03,4.000000000000000222e-01,1.000000000000000000e+00,2.230710673725575799e-01,1.394460334734916883e-05,6.281583536207748786e-01,7.390244835936683785e+02,2.076920068654955830e+06,2.413386179572575910e-02,3.419901221208431252e+01,3.224863910916974987e+02,5.935574281412089093e+00
1.000000000000000000e+04,4.000000000000000222e-01,2.999999999999999889e-01,1.971622599675122711e-01,1.549364907609596706e-05,5.771721680214333405e-01,5.817029367736174663e+02,8.348997143220617436e+05,1.573103884952922402e-02,1.606896948997554020e+01,1.938908139681506100e+02,7.874702537718236250e+00
1.000000000000000000e+04,4.000000000000000222e-01,5.500000000000000444e-01,2.192586218048060420e-01,1.393223601353349806e-05,5.771721680214333405e-01,6.465855970961563344e+02,1.210004586479262449e+06,1.922562668144299491e-02,2.167571674925254754e+01,2.317568413342773397e+02,6.864003417817112762e+00
1.000000000000000000e+04,4.000000000000000222e-01,8.000000000000000444e-01,2.238740585696752106e-01,1.364500597569647028e-05,5.771721680214333405e-01,6.972190354685635612e+02,1.575210399844988948e+06,2.213416866203015559e-02,2.682075272166812141e+01,2.612791838589080271e+02,6.165037146551472169e+00
1.000000000000000000e+04,4.000000000000000222e-01,9.000000000000000222e-01,2.236349487484694532e-01,1.365959517545017135e-05,5.771721680214333405e-01,7.148003772338066710e+02,1.719780899875171948e+06,2.322934683559928562e-02,2.878152481846672828e+01,2.715256427660019085e+02,5.938756534340127402e+00
1.000000000000000000e+04,4.000000000000000222e-01,1.000000000000000000e+00,2.225605873545123958e-01,1.372553381215142193e-05,5.771721680214333405e-01,7.314414347175635385e+02,1.863303000156992348e+06,2.433378338908620889e-02,3.067538806368888160e+01,2.810329762244414837e+02,5.738322842238114063e+00
1.500000000000000000e+04,4.000000000000000222e-01,2.999999999999999889e-01,2.010655660815146850e-01,1.490981392354710002e-05,5.240715213582746168e-01,5.702181797856525236e+02,7.250377616118575679e+05,1.577313983792024213e-02,1.400331841058825155e+01,1.666802619638454246e+02,7.754630239353220489e+00
1.500000000000000000e+04,4.000000000000000222e-01,5.500000000000000444e-01,2.212711835660392812e-01,1.354830813662334364e-05,5.240715213582746168e-01,6.362668814021963044e+02,1.064695618049735436e+06,1.923310854627585317e-02,1.913171540135034121e+01,2.000653508357158898e+02,6.691349843613045856e+00
1.500000000000000000e+04,4.000000000000000222e-01,8.000000000000000444e-01,2.241208776270107450e-01,1.337604157385626249e-05,5.240715213582746168e-01,6.878683647377705483e+02,1.395866882669822779e+06,2.219008105356629762e-02,2.381301293063919644e+01,2.258594683550798834e+02,5.976033401400307810e+00
1.500000000000000000e+04,4.000000000000000222e-01,9.000000000000000222e-01,2.231408569909296702e-01,1.343478830875829104e-05,5.240715213582746168e-01,7.057973743181734108e+02,1.526487255545002874e+06,2.334676941699831768e-02,2.557420734542375484e+01,2.347374481677084930e+02,5.750948496207577421e+00
1.500000000000000000e+04,4.000000000000000222e-01,1.000000000000000000e+00,2.208040245646276101e-01,1.357697253308261534e-05,5.240715213582746168e-01,7.235328842743574569e+02,1.659716333067580359e+06,2.454194010669663237e-02,2.731804942685099036e+01,2.428245590331105177e+02,5.537738115002430739e+00
2.000000000000000000e+04,4.000000000000000222e-01,2.999999999999999889e-01,2.083099180242030390e-01,1.411278279113381654e-05,5.158836882455475337e-01,5.671198681642373458e+02,6.600462147975852713e+05,1.624571772919455176e-02,1.266811170756974647e+01,1.461301653331436512e+02,7.484233039444356805e+00
2.000000000000000000e+04,4.000000000000000222e-01,5.500000000000000444e-01,2.225404041497403840e-01,1.321033201834372371e-05,4.679255662103279367e-01,6.247602838568731158e+02,9.256680825400846079e+05,1.917548444973339941e-02,1.670597900964531490e+01,1.710804936574969020e+02,6.532049421263415923e+00
