op_id,Mach,alt_ft,PC,time_s,dist_nm,T3_K,P3_Pa,FAR,mdot_air3_kg_s,EINOX,EICO,EIUHC
72.0,0.4,22500.0,0.475,0.0,0.0,517.571987833293,464895.2286088375,0.01117839619459025,3.374871525234064,3.1222276547446204,9.399929816800631,0.08034411339081178
73.0,0.4,22500.0,0.6499999999999999,0.0,0.0,530.9347296953763,510492.56345756294,0.0119646248506831,3.633368146917072,4.402531469683674,8.234215406306054,0.03491233522737735
74.0,0.4,22500.0,0.8249999999999998,0.0,0.0,545.8087683302696,561128.7807048876,0.012866860038405292,3.8903271206210617,6.9621670207013455,7.4205557711821895,0.015372699653166422
75.0,0.4,22500.0,1.0,0.0,0.0,566.9312361936799,632932.9598688709,0.014162308542541855,4.2491353896859,13.367846840282962,6.56710911598026,0.005184514505093913
76.0,0.55,22500.0,0.3,0.0,0.0,499.3217506349425,405885.6078309927,0.00951038158858237,3.0815144422831935,1.646628841716312,14.605237935730273,0.591385805947851
77.0,0.55,22500.0,0.475,0.0,0.0,518.6788148611946,466566.05740006024,0.010683985619291136,3.4203537146905694,2.3352631049878187,9.659676271923157,0.13446503399939538
78.0,0.55,22500.0,0.6499999999999999,0.0,0.0,532.0183473430163,513563.37658797327,0.011477673950400318,3.6803660585872575,3.519075936369298,8.157171270448828,0.054425584957786086
79.0,0.55,22500.0,0.8249999999999998,0.0,0.0,545.75350915478,563692.124414227,0.012298865209494105,3.950328277056311,5.774726624614074,7.280608919107683,0.024444652554665002
80.0,0.55,22500.0,1.0,0.0,0.0,565.3631345113769,636471.8343357532,0.013486647252564063,4.327127944312938,12.0571243565744,6.507780209467215,0.00893732903906303
81.0,0.1,30000.0,0.3,0.0,0.0,468.79704803977825,291259.6755239842,0.010095126093142528,2.21843892611498,1.9819728472796765,18.521026801082325,0.3607652065912669
82.0,0.1,30000.0,0.475,0.0,0.0,487.3536736157676,335625.2864007239,0.011171177938998874,2.47212791959744,2.4947414211292434,13.697798590082444,0.09325612437994531
83.0,0.1,30000.0,0.6499999999999999,0.0,0.0,501.294399173132,369381.9256667803,0.01199224715997454,2.656868166067389,3.6056871236664096,11.731551191255432,0.03675793531066039
84.0,0.1,30000.0,0.8249999999999998,0.0,0.0,516.1997688161309,405296.97446489,0.012869509896773173,2.845382562017923,5.666710416424418,10.324482126438346,0.015469360337014832
